6	doorsensor,open	2017-04-23 17:20:55.762357	
6	doorsensor,open	2017-04-23 17:20:55.783151	
5	tempsensor,-1	2017-04-23 17:20:55.785540	
6	doorsensor,open	2017-04-23 17:20:58.206915	
5	tempsensor,-1	2017-04-23 17:20:58.208012	
7	motionsensor,motion	2017-04-23 17:20:58.187027	
6	doorsensor,open	2017-04-23 17:21:08.827633	
6	doorsensor,open	2017-04-23 17:21:11.250230	
5	tempsensor,-1	2017-04-23 17:21:12.834438	
5	tempsensor,-1	2017-04-23 17:21:15.255751	
6	doorsensor,open	2017-04-23 17:21:21.867015	
6	doorsensor,open	2017-04-23 17:21:24.290806	
5	tempsensor,-1	2017-04-23 17:21:29.875307	
5	tempsensor,-1	2017-04-23 17:21:32.300156	
6	doorsensor,open	2017-04-23 17:21:34.907365	
5	tempsensor,-1	2017-04-23 17:21:46.916937	
6	doorsensor,open	2017-04-23 17:21:47.984873	
6	doorsensor,close	2017-04-23 17:21:58.217245	
6	doorsensor,close	2017-04-23 17:22:01.011926	
5	tempsensor,-1	2017-04-23 17:22:03.947854	
7	motionsensor,motion	2017-04-23 17:22:08.976679	
6	doorsensor,open	2017-04-23 17:22:10.528747	
6	doorsensor,open	2017-04-23 17:22:14.040033	
6	doorsensor,close	2017-04-23 17:22:19.120349	
5	tempsensor,-1	2017-04-23 17:22:20.978919	
6	doorsensor,open	2017-04-23 17:22:25.720128	
6	doorsensor,open	2017-04-23 17:22:27.067382	
8	presencesensor,no	2017-04-23 17:22:30.832387	
7	motionsensor,motion	2017-04-23 17:22:28.217027	
5	tempsensor,-1	2017-04-23 17:22:37.995118	
6	doorsensor,open	2017-04-23 17:22:40.088787	
6	doorsensor,open	2017-04-23 17:22:53.114030	
5	tempsensor,-1	2017-04-23 17:22:55.026587	
