6	doorsensor,open	2017-04-23 17:20:55.762357	
6	doorsensor,open	2017-04-23 17:20:55.783151	
5	tempsensor,-1	2017-04-23 17:20:55.785540	
6	doorsensor,open	2017-04-23 17:20:58.206915	
5	tempsensor,-1	2017-04-23 17:20:58.208012	
7	motionsensor,motion	2017-04-23 17:20:58.187027	
6	doorsensor,open	2017-04-23 17:21:08.827633	
6	doorsensor,open	2017-04-23 17:21:11.250230	
5	tempsensor,-1	2017-04-23 17:21:12.834438	
5	tempsensor,-1	2017-04-23 17:21:15.255751	
6	doorsensor,open	2017-04-23 17:21:21.867015	
6	doorsensor,open	2017-04-23 17:21:24.290806	
